tf,dc,adx,struct,shorts,stop,rr,ret,pf,n,win,dd
1h,10,0.0,True,True,1.5,1.0,-0.2818649272004745,0.598026567673826,135,0.4148148148148148,-0.2818649272004745
1h,10,0.0,True,True,1.5,1.5,-0.232128259060834,0.6775157226704462,122,0.3442622950819672,-0.2545333288245766
1h,10,0.0,True,True,1.5,2.0,-0.195925842471943,0.7307369047832157,112,0.29464285714285715,-0.2117605075157165
1h,10,0.0,True,True,1.5,3.0,-0.2156949794287656,0.7018254989477241,100,0.21,-0.2156949794287656
1h,10,0.0,True,True,2.0,1.0,-0.2121614011287033,0.6566575254119765,121,0.4297520661157025,-0.22133245427521164
1h,10,0.0,True,True,2.0,1.5,-0.16769225127999143,0.7382305142548975,107,0.35514018691588783,-0.17076616248542886
1h,10,0.0,True,True,2.0,2.0,-0.24276189591782804,0.6183400795066918,97,0.25773195876288657,-0.24276189591782804
1h,10,0.0,True,True,2.0,3.0,-0.36108966218553407,0.4144503899856765,84,0.13095238095238096,-0.36108966218553407
1h,10,0.0,True,True,3.0,1.0,-0.13618604466188644,0.7312216034846569,101,0.44554455445544555,-0.17989731246007068
1h,10,0.0,True,True,3.0,1.5,-0.1955004701206533,0.6330101139024906,86,0.313953488372093,-0.19888326201804885
1h,10,0.0,True,True,3.0,2.0,-0.2163122888692406,0.5505605644348706,70,0.22857142857142856,-0.2228179943731735
1h,10,0.0,True,True,3.0,3.0,-0.16047059606018188,0.6631648872244117,63,0.19047619047619047,-0.18363598753628096
1h,10,0.0,True,False,1.5,1.0,-0.16304266648807697,0.5613403480021643,63,0.3968253968253968,-0.17842420531373282
1h,10,0.0,True,False,1.5,1.5,-0.16088691177623782,0.5860406608916631,58,0.3103448275862069,-0.16388778205175114
1h,10,0.0,True,False,1.5,2.0,-0.18401308225363788,0.5430006743993891,55,0.23636363636363636,-0.18401308225363788
1h,10,0.0,True,False,1.5,3.0,-0.14147158426590833,0.652563677304703,51,0.19607843137254902,-0.14147158426590833
1h,10,0.0,True,False,2.0,1.0,-0.18259660944225542,0.4859404840325208,59,0.3559322033898305,-0.18259660944225542
1h,10,0.0,True,False,2.0,1.5,-0.20471897125763228,0.46099096362575775,55,0.2545454545454545,-0.20471897125763228
1h,10,0.0,True,False,2.0,2.0,-0.19733831019389858,0.4841384071804245,52,0.21153846153846154,-0.19733831019389858
1h,10,0.0,True,False,2.0,3.0,-0.24870230678598482,0.33975282584801175,46,0.10869565217391304,-0.24870230678598482
1h,10,0.0,True,False,3.0,1.0,-0.12099865825184475,0.5838124421892704,51,0.39215686274509803,-0.12929855666027834
1h,10,0.0,True,False,3.0,1.5,-0.14981637707413575,0.5300183877181003,47,0.2765957446808511,-0.14981637707413575
1h,10,0.0,True,False,3.0,2.0,-0.11851507393237404,0.5713243602123204,38,0.23684210526315788,-0.11851507393237404
1h,10,0.0,True,False,3.0,3.0,-0.12556986239715462,0.556244742209506,36,0.16666666666666666,-0.12556986239715462
1h,10,0.0,False,True,1.5,1.0,-0.558893792327196,0.7081324956107756,467,0.44967880085653106,-0.5784708183845834
1h,10,0.0,False,True,1.5,1.5,-0.5078921589396581,0.7264646415662386,384,0.3567708333333333,-0.514721555910689
1h,10,0.0,False,True,1.5,2.0,-0.4392490103746639,0.7586446745678295,331,0.3021148036253776,-0.4522160171431524
1h,10,0.0,False,True,1.5,3.0,-0.3002300712278969,0.826649794369681,265,0.23773584905660378,-0.3107098050940976
1h,10,0.0,False,True,2.0,1.0,-0.3631563612742942,0.7694430797001224,361,0.46537396121883656,-0.3758194033982457
1h,10,0.0,False,True,2.0,1.5,-0.3705597023581243,0.7427787120361898,294,0.36054421768707484,-0.37914006739032247
1h,10,0.0,False,True,2.0,2.0,-0.41457796673285996,0.6971163450329567,255,0.2823529411764706,-0.41457796673285996
1h,10,0.0,False,True,2.0,3.0,-0.14494894834147942,0.8775835046776719,176,0.24431818181818182,-0.2851097274861131
1h,10,0.0,False,True,3.0,1.0,-0.10702541073816885,0.8931096250761599,227,0.4933920704845815,-0.23577229280609968
