tf,ma,z,gate,stop,rr,ret,pf,n,win,dd,sharpe
1h,20,1.5,True,1.0,0.5,-0.863417003072039,0.45652673691509216,842,0.5795724465558195,-0.8649096647745739,-8.668700226093737
1h,20,1.5,True,1.0,0.75,-0.7885819127613926,0.5833509471810848,759,0.5164690382081687,-0.8097047630152383,-6.099755642129783
1h,20,1.5,True,1.0,1.0,-0.7099556314697228,0.6828865950356714,717,0.4700139470013947,-0.7576688752251508,-4.366635144941537
1h,20,1.5,True,1.0,1.5,-0.6717380212444484,0.7430639290556719,644,0.37732919254658387,-0.7370589300971889,-3.3871829654320234
1h,20,1.5,True,1.0,2.0,-0.3916802260398363,0.8773452864796267,594,0.3451178451178451,-0.5712793502779573,-1.2360389405968581
1h,20,1.5,True,1.5,0.5,-0.5860192616690585,0.6255934229840556,634,0.6214511041009464,-0.6295027107227824,-4.591318655962985
1h,20,1.5,True,1.5,0.75,-0.4658345158502578,0.7473393355649595,562,0.5498220640569395,-0.5580447289514558,-2.8784914413337117
1h,20,1.5,True,1.5,1.0,-0.41638136483962784,0.795104496427116,519,0.48554913294797686,-0.5268853849527843,-2.211409023560374
1h,20,1.5,True,1.5,1.5,-0.0983680190312789,0.9592479768089044,447,0.4228187919463087,-0.32982070752511183,-0.2642343565571978
1h,20,1.5,True,1.5,2.0,0.05018388568278387,1.0181729118993386,369,0.36585365853658536,-0.259096580626221,0.30962138588151067
1h,20,1.5,True,2.0,0.5,-0.3264755927703078,0.7653123802572647,498,0.6506024096385542,-0.4136894129123696,-2.370086059550457
1h,20,1.5,True,2.0,0.75,-0.20384058385988324,0.8690918262528163,421,0.5724465558194775,-0.3388091314271209,-1.1867216943239085
1h,20,1.5,True,2.0,1.0,-0.015157529724883712,0.9909735891237506,366,0.5273224043715847,-0.21048859013332533,0.013729270744019806
1h,20,1.5,True,2.0,1.5,0.11411619692362174,1.0597081095850347,289,0.43944636678200694,-0.18663244914214505,0.6112869296395281
1h,20,1.5,True,2.0,2.0,-0.03301011131890175,0.9769308042817904,209,0.3492822966507177,-0.19666289152495298,-0.06091138112167095
1h,20,1.5,True,3.0,0.5,-0.11558133470367626,0.8930376853330148,350,0.6685714285714286,-0.228639461449354,-0.8617119451838351
1h,20,1.5,True,3.0,0.75,0.2059734024989035,1.1676058992351332,293,0.6313993174061433,-0.1311950207585656,1.356597250128337
1h,20,1.5,True,3.0,1.0,0.1335882631783334,1.1172448753629314,218,0.5504587155963303,-0.11297593508782344,0.9197817677818347
1h,20,1.5,True,3.0,1.5,0.14766551118095728,1.1641024405775244,149,0.4563758389261745,-0.08055117163970726,0.9725418839984115
1h,20,1.5,True,3.0,2.0,0.09052651043863502,1.1088334880377133,117,0.37606837606837606,-0.1513043117472529,0.6256017122288602
1h,20,1.5,False,1.0,0.5,-0.9350264558629632,0.4461076618401322,1140,0.5719298245614035,-0.9358190414546953,-10.34970699378924
1h,20,1.5,False,1.0,0.75,-0.8833151191607174,0.5757497640545759,1028,0.5097276264591439,-0.895743393119316,-7.264889670803718
1h,20,1.5,False,1.0,1.0,-0.8278160919037224,0.6644547874273894,957,0.45977011494252873,-0.8616174201579563,-5.372544032616664
1h,20,1.5,False,1.0,1.5,-0.784144113972256,0.7300987939961718,851,0.37132784958871917,-0.8242963458520743,-4.072145126345871
1h,20,1.5,False,1.0,2.0,-0.5624559499076475,0.8476385512793215,778,0.33547557840616965,-0.6886080882808872,-1.8592321274988002
1h,20,1.5,False,1.5,0.5,-0.6784277181221362,0.6431079482537156,856,0.6226635514018691,-0.7111176047355598,-5.085499849506841
1h,20,1.5,False,1.5,0.75,-0.5442421205391056,0.7591427071423154,745,0.5503355704697986,-0.6348863611295453,-3.113425715706177
1h,20,1.5,False,1.5,1.0,-0.5134632665814273,0.7880548743133093,679,0.48159057437407954,-0.6085720036827225,-2.5819615566690497
1h,20,1.5,False,1.5,1.5,-0.21660038700493423,0.9252069723118668,572,0.4125874125874126,-0.41356306476755456,-0.6736424106265115
1h,20,1.5,False,1.5,2.0,-0.017858204592979376,0.9951250036164287,477,0.3584905660377358,-0.29601688059785003,0.09651337471897745
1h,20,1.5,False,2.0,0.5,-0.3735881847648398,0.7797090944870637,640,0.6515625,-0.4630294092116424,-2.459003744774213
1h,20,1.5,False,2.0,0.75,-0.25672990217402336,0.863012085117697,534,0.5692883895131086,-0.38918837788254557,-1.3641861756568312
1h,20,1.5,False,2.0,1.0,-0.0996397438846871,0.9515279355199598,467,0.5160599571734475,-0.2688049505726382,-0.3760979852292686
1h,20,1.5,False,2.0,1.5,0.1068259327342318,1.0449753408798959,368,0.43478260869565216,-0.18593425009900322,0.539592897097536
1h,20,1.5,False,2.0,2.0,-0.06398349119959001,0.9640385498572708,263,0.34600760456273766,-0.20660320634229123,-0.17215907033639882
1h,20,1.5,False,3.0,0.5,-0.09907223550608102,0.9236140259740333,426,0.6737089201877934,-0.2189663344764493,-0.6431679995358787
1h,20,1.5,False,3.0,0.75,0.15398938864526102,1.1074610838316639,335,0.6179104477611941,-0.14153556530927125,0.9909587293457801
1h,20,1.5,False,3.0,1.0,0.20485760373073703,1.145910742100333,257,0.556420233463035,-0.11182411729175723,1.2397465735976616
1h,20,1.5,False,3.0,1.5,0.06734151873118988,1.0637770259467452,178,0.43258426966292135,-0.11094888433311922,0.47359449602334897
